country,sector,dlog
GB,Childcare,-0.5384099289431585
GB,Civil Engineering,-0.4572301238645595
GB,Cleaning & Sanitation,-0.5870500023603009
GB,Community & Social Service,-0.39654493650646483
GB,Construction,-0.5527703109079232
GB,Customer Service,-1.0191509539535817
GB,Data & Analytics,-1.0968375443289915
GB,Dental,-0.5131265816294981
GB,Driving,-0.5537832756754169
GB,Education & Instruction,-0.3010425469117646
GB,Electrical Engineering,-0.40082845556782143
GB,Food Preparation & Service,-0.7721024909083978
GB,Hospitality & Tourism,-0.7193552242198917
GB,Human Resources,-0.9352484678163426
GB,"IT Infrastructure, Operations & Support",-0.9186017783533842
GB,IT Systems & Solutions,-0.992278804968894
GB,Industrial Engineering,-0.5363958528820971
GB,Installation & Maintenance,-0.4011091314020483
GB,Insurance,-0.4882277332216871
GB,Legal,-0.4799084966156588
GB,Loading & Stocking,-0.8062443436449573
GB,Logistic Support,-0.744107064864707
GB,Management,-0.6105294074613798
GB,Marketing,-0.8675293406891793
GB,Mechanical Engineering,-0.22270748988103062
GB,Media & Communications,-0.9115810957356851
GB,Medical Information,-0.7851171977217728
GB,Medical Technician,-0.5639680876269866
GB,Nursing,-0.7677119968344592
GB,Personal Care & Home Health,-0.6821823293265741
GB,Pharmacy,-0.8129867822443435
GB,Physicians & Surgeons,-0.29345670136945934
GB,Production & Manufacturing,-0.6437916358803628
GB,Project Management,-0.7335278287938589
GB,Real Estate,-0.3727116588570336
GB,Retail,-0.6268202578177577
GB,Sales,-0.6191457819901727
GB,Scientific Research & Development,-0.7260564502407298
GB,Security & Public Safety,-0.6467869121454166
GB,Social Science,-0.36167181885466704
GB,Software Development,-1.0564510971559145
GB,Sports,-0.5168351132998268
GB,Therapy,-0.7171599559173387
GB,Veterinary,-0.8133330514914245
DE,Accounting,-0.10556902805463153
DE,Administrative Assistance,-0.22128721768881743
DE,Agriculture & Forestry,-0.020793786003816983
DE,Architecture,-0.3880700533769703
DE,Arts & Entertainment,-0.36156507826996886
DE,Banking & Finance,-0.28516884776534024
DE,Chemical Engineering,-0.27388880253379977
DE,Childcare,-0.05643795379593097
DE,Civil Engineering,-0.1532840525522552
DE,Cleaning & Sanitation,-0.10061251436295393
DE,Community & Social Service,-0.03428752081143038
DE,Construction,-0.11016033191411889
DE,Customer Service,-0.4636270773174198
DE,Data & Analytics,-0.6271317677634487
DE,Dental,-0.037106898951256184
DE,Education & Instruction,-0.07639572844783693
DE,Electrical Engineering,-0.14297557745746836
DE,Hospitality & Tourism,-0.24352430742694597
DE,Human Resources,-0.7383308536171906
DE,"IT Infrastructure, Operations & Support",-0.5027282633880148
DE,IT Systems & Solutions,-0.5085613067668362
DE,Industrial Engineering,-0.7358219515199895
DE,Installation & Maintenance,-0.10162871791685202
DE,Insurance,-0.2498797868373952
DE,Legal,-0.2983819776752714
DE,Loading & Stocking,-0.2830779174381224
DE,Logistic Support,-0.5000557342717586
DE,Management,-0.26946425465013935
DE,Marketing,-0.6349550778612771
DE,Mechanical Engineering,-0.18945579634608833
DE,Media & Communications,-0.5772349087164361
DE,Medical Technician,-0.08839031074872228
DE,Nursing,0.019182463352276358
DE,Pharmacy,-0.30945105508713766
DE,Production & Manufacturing,-0.22981231467441798
DE,Project Management,-0.5032032426373476
DE,Real Estate,-0.5105566068335481
DE,Retail,-0.09689031533429748
DE,Sales,-0.28102603166055307
DE,Scientific Research & Development,-0.44958644229335754
DE,Security & Public Safety,-0.0404781604872122
DE,Social Science,-0.17438670505670206
DE,Software Development,-0.8111039875477841
DE,Sports,0.043784844253077715
DE,Therapy,0.0483923397876751
FR,Accounting,-0.37386837471366796
FR,Administrative Assistance,-0.3274151449378655
FR,Agriculture & Forestry,-0.1382764930243061
FR,Arts & Entertainment,-0.17153198014580795
FR,Banking & Finance,-0.30816153413143077
FR,Beauty & Wellness,-0.008005928251694883
FR,Construction,-0.3600507408254403
FR,Customer Service,-0.35955880443121035
FR,Education & Instruction,-0.17929271550629267
FR,Food Preparation & Service,-0.06700629718318574
FR,Human Resources,-0.6310286239338163
FR,"IT Infrastructure, Operations & Support",-0.29418343489112697
FR,IT Systems & Solutions,-0.37868067625091406
FR,Industrial Engineering,-0.23245529770498763
FR,Installation & Maintenance,-0.134765602967871
FR,Insurance,-0.10347360950347362
FR,Legal,-0.25019627521331245
FR,Loading & Stocking,-0.3609921545391117
FR,Logistic Support,-0.3498127461147913
FR,Management,-0.19930467216150838
FR,Marketing,-0.37778995732929044
FR,Media & Communications,-0.422265793012361
FR,Nursing,-0.031117502242077322
FR,Pharmacy,-0.30877009141553113
FR,Physicians & Surgeons,0.2435151728121685
FR,Production & Manufacturing,-0.1700030767931926
FR,Project Management,-0.3287183257759754
FR,Real Estate,-0.07161889801885124
FR,Retail,-0.10467522965300091
FR,Sales,-0.2582826850613351
FR,Security & Public Safety,-0.08409413250838593
FR,Software Development,-0.5831348914758534
AU,Accounting,-0.26658703546286766
AU,Administrative Assistance,-0.429305729186229
AU,Agriculture & Forestry,-0.022994049560469243
AU,Architecture,-0.8258744638512043
AU,Arts & Entertainment,-0.5783693290607195
AU,Banking & Finance,-0.4213463862640827
AU,Childcare,-0.26233329740483047
AU,Civil Engineering,-0.6620353622566189
AU,Cleaning & Sanitation,-0.36102761348573154
AU,Community & Social Service,-0.3395402705560153
AU,Construction,-0.3064001379634256
AU,Customer Service,-0.41485077441672935
AU,Data & Analytics,-0.8256472441927079
AU,Dental,0.10880252307747806
AU,Electrical Engineering,-0.2533424040624306
AU,Food Preparation & Service,-0.1631979255143996
AU,Hospitality & Tourism,-0.2440879720114255
AU,Human Resources,-0.557470022025818
AU,"IT Infrastructure, Operations & Support",-0.5720303497890296
AU,IT Systems & Solutions,-0.7155570616887204
AU,Industrial Engineering,-0.5720037235476481
AU,Installation & Maintenance,-0.11633922556738518
AU,Insurance,-0.2877443413647507
AU,Legal,-0.19253895575836832
AU,Loading & Stocking,-0.44259888726591523
AU,Logistic Support,-0.5284991972679238
AU,Management,-0.2910683363491193
AU,Marketing,-0.576105092472635
AU,Media & Communications,-0.6500173068049984
AU,Medical Information,-0.18934967556875382
AU,Medical Technician,-0.15926958093117438
AU,Nursing,-0.3444602793779197
AU,Personal Care & Home Health,-0.15180718313295838
AU,Pharmacy,-0.5309274830133592
AU,Physicians & Surgeons,0.010207837746476933
AU,Production & Manufacturing,-0.36270210615664844
AU,Project Management,-0.5085065518277929
AU,Real Estate,-0.1857123241856078
AU,Retail,-0.28311999206201754
AU,Sales,-0.39552726727137344
AU,Scientific Research & Development,-0.4026662201844058
AU,Security & Public Safety,-0.34635737783997467
AU,Social Science,-0.17889765139998026
AU,Software Development,-0.8406746407220052
AU,Sports,0.36500834698752627
AU,Therapy,0.2648098392494642
AU,Veterinary,0.5527046407274137
